1	1	草
2	1	毒
3	2	草
4	2	毒
5	3	草
6	3	毒
7	4	火
8	5	火
9	6	火
10	7	水
11	8	水
12	9	水
13	10	蟲
14	11	蟲
15	12	蟲
16	12	飛行
17	13	蟲
18	14	蟲
19	15	蟲
20	15	飛行
21	16	一般
22	16	飛行
23	17	一般
24	17	飛行
25	18	一般
26	18	飛行
27	19	一般
28	20	一般
29	21	一般
30	21	飛行
31	22	一般
32	22	飛行
33	23	毒
34	24	毒
35	25	電
36	26	電
37	27	地面
38	28	地面
39	29	毒
40	30	毒
41	31	毒
42	31	地面
43	32	毒
44	33	毒
45	34	毒
46	34	地面
47	35	妖精
48	36	妖精
49	37	火
50	38	火
51	39	一般
52	39	妖精
53	40	一般
54	40	妖精
55	41	毒
56	41	飛行
57	42	毒
58	42	飛行
59	43	草
60	43	毒
61	44	草
62	44	毒
63	45	草
64	45	毒
65	46	蟲
66	46	草
67	47	蟲
68	47	草
69	48	蟲
70	48	毒
71	49	蟲
72	49	毒
73	50	地面
74	50	地面
75	51	一般
76	52	一般
77	53	水
78	54	水
79	55	格鬥
80	56	格鬥
81	57	火
82	58	火
83	59	水
84	60	水
85	61	水
86	62	格鬥
87	63	超能力
88	64	超能力
89	65	超能力
90	66	格鬥
91	67	格鬥
92	68	格鬥
93	69	草
94	69	毒
95	70	草
96	70	毒
97	71	草
98	71	毒
99	72	水
100	72	毒
101	73	水
102	73	毒
103	74	岩石
104	74	地面
105	75	岩石
106	75	地面
107	76	岩石
108	76	地面
109	77	火
110	78	火
111	79	水
112	79	超能力
113	80	水
114	80	超能力
115	81	電
116	81	鋼
117	82	電
118	82	鋼
119	83	一般
120	83	飛行
121	84	一般
122	84	飛行
123	85	一般
124	85	飛行
125	86	水
126	87	水
127	87	冰
128	88	毒
129	89	毒
130	90	水
131	91	水
132	91	冰
133	92	幽靈
134	92	毒
135	93	幽靈
136	93	毒
137	94	幽靈
138	94	毒
139	95	岩石
140	95	地面
141	96	超能力
142	97	超能力
143	98	水
144	99	水
145	100	電
146	101	電
147	102	草
148	102	超能力
149	103	草
150	103	超能力
151	104	地面
152	105	地面
153	106	格鬥
154	107	格鬥
155	108	一般
156	109	毒
157	110	毒
158	111	地面
159	111	岩石
160	112	地面
161	112	岩石
162	113	一般
163	114	草
164	115	一般
165	116	水
166	117	水
167	118	水
168	119	水
169	120	水
170	121	水
171	121	超能力
172	122	超能力
173	122	妖精
174	123	蟲
175	123	飛行
176	124	冰
177	124	超能力
178	125	電
179	126	火
180	127	蟲
181	128	一般
182	129	水
183	130	水
184	130	飛行
185	131	水
186	131	冰
187	132	一般
188	133	一般
189	134	水
190	135	電
191	136	火
192	137	一般
193	138	岩石
194	138	水
195	139	岩石
196	139	水
197	140	岩石
198	140	水
199	141	岩石
200	141	水
201	142	岩石
202	142	飛行
203	143	一般
204	144	冰
205	144	飛行
206	145	電
207	145	飛行
208	146	火
209	146	飛行
210	147	龍
211	148	龍
212	149	龍
213	149	飛行
214	150	超能力
215	151	超能力
